"LOCATIONID","LOCATIONNAME","LATITUDE","LONGTITUDE"
"603","Liberec-letiste","50.8","15.0"
"502","Usti n.Labem","50.7","14.0"
"788","Polom","50.35","16.32"
"789","Plzen-Mikulka","49.65","13.45"
"518","Praha-Ruzyne","50.1","14.2"
"446","Plzen-Bolevec","49.7","13.5"
"693","Dukovany","49.1","16.1"
"438","Tusimice","50.4","13.3"
"730","Serak","50.2","17.2"
"541","Ceske Budejovice","48.97","14.49"
"659","Pribyslav","49.6","15.8"
"790","Kosetice","49.6","15.2"
"433","Kopisty","50.6","13.6"
"643","Pec p.Snezkou","50.7","15.7"
"567","Praha-Kbely","50.15","14.6"
"698","Kucharovice","48.9","16.0"
"683","Svratouch","49.7","16.0"
"414","Karlovy Vary","50.3","12.8"
"774","Holesov-letiste","49.2","17.7"
"723","Brno-Turany","49.1","16.6"
"519","Praha-Karlov","49.85","14.5"
"692","Namest n.Oslavou","49.2","16.1"
"457","Churanov","49.0","13.6"
"509","Doksany","50.5","14.2"
"787","Lysa Hora","49.6","18.5"
"766","Cervena u Libave","49.8","17.6"
"679","Usti n.Orlici","50.0","16.4"
"782","Ostrava-Mosnov","49.7","18.0"
"791","Snezka","50.71","15.69"
"652","Pardubice","50.0","15.7"
"628","Kramolin-Kosetice","49.6","15.2"
"636","Kostelni Myslova","49.2","15.4"
"520","Praha-Libus","50.0","14.5"
"464","Milesovka","50.4","13.8"
"406","Cheb","50.3","12.4"
"538","Temelin","49.1","14.4"
"710","Luka","49.7","17.0"
"487","Kocelovice","49.5","13.8"
"624","Caslav","50.1","15.4"
"423","Primda","49.7","12.7"
